club_name,league,season,event,tier_from,tier_to
1,Super League Greece,2020/2021,PROMOTED,3,3
2,Super League Greece,2020/2021,PROMOTED,3,3
13,Super League Greece,2020/2021,RELEGATED,3,4
14,Super League Greece,2020/2021,RELEGATED,3,4
1,Super League Greece,2021/2022,PROMOTED,3,3
2,Super League Greece,2021/2022,PROMOTED,3,3
13,Super League Greece,2021/2022,RELEGATED,3,4
14,Super League Greece,2021/2022,RELEGATED,3,4
1,Super League Greece,2022/2023,PROMOTED,3,3
2,Super League Greece,2022/2023,PROMOTED,3,3
13,Super League Greece,2022/2023,RELEGATED,3,4
14,Super League Greece,2022/2023,RELEGATED,3,4
1,Super League Greece,2023/2024,PROMOTED,3,3
2,Super League Greece,2023/2024,PROMOTED,3,3
13,Super League Greece,2023/2024,RELEGATED,3,4
14,Super League Greece,2023/2024,RELEGATED,3,4
1,Super League Greece,2024/2025,PROMOTED,3,3
2,Super League Greece,2024/2025,PROMOTED,3,3
13,Super League Greece,2024/2025,RELEGATED,3,4
14,Super League Greece,2024/2025,RELEGATED,3,4
