match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
266989,2016-11-06,20:45:00.000,Spain - La Liga,2016/2017,Sevilla,Barcelona,1,2,available,scheduled,2023-07-24T21:50:55.698179,2021-06-13T16:17:31.694,11,Regular Season,Estadio Ramón Sánchez Pizjuán,,Jorge Luis Sampaoli Moya,Luis Enrique Martínez García,1.1.0,2,2
266357,2016-12-10,13:00:00.000,Spain - La Liga,2016/2017,Osasuna,Barcelona,0,3,available,scheduled,2023-07-24T21:41:37.118536,2021-06-13T16:17:31.694,15,Regular Season,Estadio El Sadar,,Joaquín de Jesús Caparrós Camino,Luis Enrique Martínez García,1.1.0,2,2
267569,2017-04-23,20:45:00.000,Spain - La Liga,2016/2017,Real Madrid,Barcelona,2,3,available,scheduled,2023-07-24T21:43:33.680670,2021-06-13T16:17:31.694,33,Regular Season,Estadio Santiago Bernabéu,,Zinédine Zidane,Luis Enrique Martínez García,1.1.0,2,2
267212,2016-09-17,13:00:00.000,Spain - La Liga,2016/2017,Leganés,Barcelona,1,5,available,scheduled,2022-11-19T16:09:54.565019,2021-06-13T16:17:31.694,4,Regular Season,Estadio Municipal de Butarque,,Asier Garitano Aguirrezábal,Luis Enrique Martínez García,1.1.0,2,2
266669,2016-09-10,20:30:00.000,Spain - La Liga,2016/2017,Barcelona,Deportivo Alavés,1,2,available,scheduled,2023-05-11T08:12:51.955151,2021-06-13T16:17:31.694,3,Regular Season,Spotify Camp Nou,,Luis Enrique Martínez García,Mauricio Pellegrino,1.1.0,2,2
266892,2016-08-28,20:15:00.000,Spain - La Liga,2016/2017,Athletic Club,Barcelona,0,1,available,scheduled,2022-11-19T16:05:59.289907,2021-06-13T16:17:31.694,2,Regular Season,San Mamés Barria,Antonio Miguel Mateu Lahoz,Ernesto Valverde Tejedor,Luis Enrique Martínez García,1.1.0,2,2
267220,2016-09-21,22:00:00.000,Spain - La Liga,2016/2017,Barcelona,Atlético Madrid,1,1,available,scheduled,2023-07-24T21:42:13.386289,2021-06-13T16:17:31.694,5,Regular Season,Spotify Camp Nou,David Fernández Borbalan,Luis Enrique Martínez García,Diego Pablo Simeone,1.1.0,2,2
267670,2016-08-20,18:15:00.000,Spain - La Liga,2016/2017,Barcelona,Real Betis,6,2,available,scheduled,2022-11-19T16:01:22.382731,2021-06-13T16:17:31.694,1,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Luis Enrique Martínez García,Gustavo Augusto Poyet Domínguez,1.1.0,2,2
266516,2017-01-29,12:00:00.000,Spain - La Liga,2016/2017,Real Betis,Barcelona,1,1,available,scheduled,2023-07-24T21:45:34.371938,2021-06-13T16:17:31.694,20,Regular Season,Estadio Benito Villamarín,,Víctor Sánchez del Amo,Luis Enrique Martínez García,1.1.0,2,2
267039,2017-05-14,20:00:00.000,Spain - La Liga,2016/2017,Las Palmas,Barcelona,1,4,available,scheduled,2023-07-24T21:43:11.033141,2021-06-13T16:17:31.694,37,Regular Season,Estadio de Gran Canaria,José Luis González González,Enrique Setién Solar,Luis Enrique Martínez García,1.1.0,2,2
266477,2017-01-08,20:45:00.000,Spain - La Liga,2016/2017,Villarreal,Barcelona,1,1,available,scheduled,2023-07-24T17:55:12.814918,2021-06-13T16:17:31.694,17,Regular Season,Estadio de la Cerámica,Ignacio Iglesias Villanueva,Francisco Escriba Segura,Luis Enrique Martínez García,1.1.0,2,2
267101,2017-04-26,19:30:00.000,Spain - La Liga,2016/2017,Barcelona,Osasuna,7,1,available,scheduled,2023-07-24T21:48:41.471109,2021-06-13T16:17:31.694,34,Regular Season,Spotify Camp Nou,,Luis Enrique Martínez García,Petar Vasiljević,1.1.0,2,2
266440,2017-03-19,20:45:00.000,Spain - La Liga,2016/2017,Barcelona,Valencia,4,2,available,scheduled,2023-07-24T21:40:36.642214,2021-06-13T16:17:31.694,28,Regular Season,Spotify Camp Nou,,Luis Enrique Martínez García,Salvador González Marco,1.1.0,2,2
266033,2016-10-22,16:15:00.000,Spain - La Liga,2016/2017,Valencia,Barcelona,2,3,available,scheduled,2023-07-24T21:49:01.733896,2021-06-13T16:17:31.694,9,Regular Season,Estadio de Mestalla,Alberto Undiano Mallenco,Claudio Cesare Prandelli,Luis Enrique Martínez García,1.1.0,2,2
267660,2017-03-12,16:15:00.000,Spain - La Liga,2016/2017,RC Deportivo La Coruña,Barcelona,2,1,available,scheduled,2022-11-30T17:50:11.505639,2021-06-13T16:17:31.694,27,Regular Season,Estadio Abanca-Riazor,David Fernández Borbalan,José Mel Pérez,Luis Enrique Martínez García,1.1.0,2,2
266273,2017-02-11,16:15:00.000,Spain - La Liga,2016/2017,Deportivo Alavés,Barcelona,0,6,available,scheduled,2023-07-24T21:49:40.233242,2021-06-13T16:17:31.694,22,Regular Season,Estadio de Mendizorroza,Carlos Clos Gómez,Mauricio Pellegrino,Luis Enrique Martínez García,1.1.0,2,2
267395,2017-01-14,16:15:00.000,Spain - La Liga,2016/2017,Barcelona,Las Palmas,5,0,available,scheduled,2023-05-11T08:13:40.117646,2021-06-13T16:17:31.694,18,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Luis Enrique Martínez García,Enrique Setién Solar,1.1.0,2,2
266874,2017-02-04,16:15:00.000,Spain - La Liga,2016/2017,Barcelona,Athletic Club,3,0,available,scheduled,2023-07-24T17:57:56.516416,2021-06-13T16:17:31.694,21,Regular Season,Spotify Camp Nou,José Luis González González,Luis Enrique Martínez García,Ernesto Valverde Tejedor,1.1.0,2,2
266731,2017-01-22,20:45:00.000,Spain - La Liga,2016/2017,Eibar,Barcelona,0,4,available,scheduled,2023-07-24T17:57:06.130288,2021-06-13T16:17:31.694,19,Regular Season,Estadio Municipal de Ipurúa,,José Luis Mendilibar Etxebarria,Luis Enrique Martínez García,1.1.0,2,2
266528,2016-12-18,20:45:00.000,Spain - La Liga,2016/2017,Barcelona,Espanyol,4,1,available,scheduled,2023-07-24T21:42:34.637040,2021-06-13T16:17:31.694,16,Regular Season,Spotify Camp Nou,Antonio Miguel Mateu Lahoz,Luis Enrique Martínez García,Enrique Sánchez Flores,1.1.0,2,2
266280,2017-04-05,19:30:00.000,Spain - La Liga,2016/2017,Barcelona,Sevilla,3,0,available,scheduled,2023-07-24T21:46:34.060601,2021-06-13T16:17:31.694,30,Regular Season,Spotify Camp Nou,Carlos Clos Gómez,Luis Enrique Martínez García,Jorge Luis Sampaoli Moya,1.1.0,2,2
267432,2017-05-21,20:00:00.000,Spain - La Liga,2016/2017,Barcelona,Eibar,4,2,available,scheduled,2022-11-30T18:34:51.329429,2021-06-13T16:17:31.694,38,Regular Season,Spotify Camp Nou,,Luis Enrique Martínez García,José Luis Mendilibar Etxebarria,1.1.0,2,2
267076,2016-12-03,16:15:00.000,Spain - La Liga,2016/2017,Barcelona,Real Madrid,1,1,available,scheduled,2022-11-19T16:45:15.008713,2021-06-13T16:17:31.694,14,Regular Season,Spotify Camp Nou,Carlos Clos Gómez,Luis Enrique Martínez García,Zinédine Zidane,1.1.0,2,2
