match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
267368,2014-04-05,18:00:00.000,Spain - La Liga,2013/2014,Barcelona,Real Betis,3,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,32,Regular Season,Spotify Camp Nou,Eduardo Prieto Iglesias,,,1.1.0,2,2
70301,2013-09-14,20:00:00.000,Spain - La Liga,2013/2014,Barcelona,Sevilla,3,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,4,Regular Season,Spotify Camp Nou,César Muñiz,Gerardo Daniel Martino,Unai Emery Etxegoien,1.1.0,2,2
70298,2013-09-01,21:00:00.000,Spain - La Liga,2013/2014,Valencia,Barcelona,2,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Regular Season,Estadio de Mestalla,José Teixeira,Miroslav Đukić,Gerardo Daniel Martino,1.1.0,2,2
70302,2013-09-21,20:00:00.000,Spain - La Liga,2013/2014,Rayo Vallecano,Barcelona,0,4,available,scheduled,2022-07-23T12:11:58.073987,2021-06-13T16:17:31.694,5,Regular Season,Estadio de Vallecas,Carlos Clos Gómez,Francisco Jémez Martín,Gerardo Daniel Martino,1.1.0,2,2
70291,2014-01-26,21:00:00.000,Spain - La Liga,2013/2014,Barcelona,Málaga,3,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,21,Regular Season,Spotify Camp Nou,Carlos Clos Gómez,Gerardo Daniel Martino,Bernd Schuster,1.1.0,2,2
267138,2014-04-12,20:00:00.000,Spain - La Liga,2013/2014,Granada,Barcelona,1,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,33,Regular Season,Estadio Nuevo Los Cármenes,Carlos Delgado,Luis Lucas Alcaraz González,Gerardo Daniel Martino,1.1.0,2,2
267520,2013-09-24,20:00:00.000,Spain - La Liga,2013/2014,Barcelona,Real Sociedad,4,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Spotify Camp Nou,Jesús Gil Manzano,Gerardo Daniel Martino,Jagoba Arrasate Elustondo,1.1.0,2,2
70289,2014-04-27,21:00:00.000,Spain - La Liga,2013/2014,Villarreal,Barcelona,2,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,35,Regular Season,Estadio de la Cerámica,David Fernández Borbalan,Marcelino García Toral,Gerardo Daniel Martino,1.1.0,2,2
266066,2014-03-02,21:00:00.000,Spain - La Liga,2013/2014,Barcelona,Almería,4,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,26,Regular Season,Spotify Camp Nou,,Gerardo Daniel Martino,Francisco Javier Rodríguez Vílchez,1.1.0,2,2
267675,2014-02-09,21:00:00.000,Spain - La Liga,2013/2014,Sevilla,Barcelona,1,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,23,Regular Season,Estadio Ramón Sánchez Pizjuán,José Teixeira,Unai Emery Etxegoien,Gerardo Daniel Martino,1.1.0,2,2
