match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
9880,2018-04-14,16:15:00.000,Spain - La Liga,2017/2018,Barcelona,Valencia,2,1,available,scheduled,2023-02-08T17:23:53.901920,2021-06-13T16:17:31.694,32,Regular Season,Spotify Camp Nou,Carlos del Cerro Grande,Ernesto Valverde Tejedor,Marcelino García Toral,1.1.0,2,2
9912,2018-04-29,20:45:00.000,Spain - La Liga,2017/2018,RC Deportivo La Coruña,Barcelona,2,4,available,scheduled,2022-12-05T14:42:44.641092,2021-06-13T16:17:31.694,35,Regular Season,Estadio Abanca-Riazor,Ricardo De Burgos Bengoetxea,Clarence Seedorf,Ernesto Valverde Tejedor,1.1.0,2,2
9924,2018-05-06,20:45:00.000,Spain - La Liga,2017/2018,Barcelona,Real Madrid,2,2,available,scheduled,2022-12-01T03:25:12.063586,2021-06-13T16:17:31.694,36,Regular Season,Spotify Camp Nou,Alejandro José Hernández Hernández,Ernesto Valverde Tejedor,Zinédine Zidane,1.1.0,2,2
9855,2018-03-18,16:15:00.000,Spain - La Liga,2017/2018,Barcelona,Athletic Club,2,0,available,scheduled,2022-12-01T02:33:31.178193,2021-06-13T16:17:31.694,29,Regular Season,Spotify Camp Nou,Santiago Jaime Latre,Ernesto Valverde Tejedor,José Ángel Ziganda Lacunza,1.1.0,2,2
9827,2018-03-01,21:00:00.000,Spain - La Liga,2017/2018,Las Palmas,Barcelona,1,1,available,scheduled,2022-08-04T17:18:06.540844,2021-06-13T16:17:31.694,26,Regular Season,Estadio de Gran Canaria,Antonio Miguel Mateu Lahoz,Francisco Jémez Martín,Ernesto Valverde Tejedor,1.1.0,2,2
9799,2018-02-17,16:15:00.000,Spain - La Liga,2017/2018,Eibar,Barcelona,0,2,available,scheduled,2022-12-01T01:41:38.350571,2021-06-13T16:17:31.694,24,Regular Season,Estadio Municipal de Ipurúa,Alejandro José Hernández Hernández,José Luis Mendilibar Etxebarria,Ernesto Valverde Tejedor,1.1.0,2,2
9636,2017-10-01,16:15:00.000,Spain - La Liga,2017/2018,Barcelona,Las Palmas,3,0,available,scheduled,2022-02-04T22:31:59.619211,2021-06-13T16:17:31.694,7,Regular Season,Spotify Camp Nou,José Luis Munuera Montero,Ernesto Valverde Tejedor,Francisco Martín Ayestarán Barandiarán,1.1.0,2,2
9609,2017-09-19,22:00:00.000,Spain - La Liga,2017/2018,Barcelona,Eibar,6,1,available,scheduled,2022-02-04T14:40:31.817331,2021-06-13T16:17:31.694,5,Regular Season,Spotify Camp Nou,Alejandro José Hernández Hernández,Ernesto Valverde Tejedor,José Luis Mendilibar Etxebarria,1.1.0,2,2
9575,2017-08-20,20:15:00.000,Spain - La Liga,2017/2018,Barcelona,Real Betis,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Regular Season,Spotify Camp Nou,Daniel Jesús Trujillo Suárez,Ernesto Valverde Tejedor,Enrique Setién Solar,1.1.0,2,
9928,2018-05-09,20:00:00.000,Spain - La Liga,2017/2018,Barcelona,Villarreal,5,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,34,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Javier Calleja Revilla,1.1.0,2,
9736,2017-12-23,13:00:00.000,Spain - La Liga,2017/2018,Real Madrid,Barcelona,0,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17,Regular Season,Estadio Santiago Bernabéu,,Zinédine Zidane,Ernesto Valverde Tejedor,1.1.0,2,
9742,2018-01-07,16:15:00.000,Spain - La Liga,2017/2018,Barcelona,Levante UD,3,0,available,scheduled,2022-06-18T19:26:24.300460,2021-06-13T16:17:31.694,18,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Juan Ramón López Muñiz,1.1.0,2,2
9765,2018-01-21,20:45:00.000,Spain - La Liga,2017/2018,Real Betis,Barcelona,0,5,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,20,Regular Season,Estadio Benito Villamarín,,"Eder Sarabia Armesto, Enrique Setién Solar",Ernesto Valverde Tejedor,1.1.0,2,
9661,2017-10-28,20:45:00.000,Spain - La Liga,2017/2018,Athletic Club,Barcelona,0,2,available,scheduled,2022-02-10T21:47:49.678101,2021-06-13T16:17:31.694,10,Regular Season,San Mamés Barria,Juan Martínez Munuera,José Ángel Ziganda Lacunza,Ernesto Valverde Tejedor,1.1.0,2,2
9592,2017-09-09,20:45:00.000,Spain - La Liga,2017/2018,Barcelona,Espanyol,5,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Regular Season,Spotify Camp Nou,Jesús Gil Manzano,Ernesto Valverde Tejedor,Enrique Sánchez Flores,1.1.0,2,
9870,2018-04-07,20:45:00.000,Spain - La Liga,2017/2018,Barcelona,Leganés,3,1,available,scheduled,2023-02-28T07:25:15.903248,2021-06-13T16:17:31.694,31,Regular Season,Spotify Camp Nou,Ricardo De Burgos Bengoetxea,Ernesto Valverde Tejedor,Asier Garitano Aguirrezábal,1.1.0,2,2
9783,2018-02-04,16:15:00.000,Spain - La Liga,2017/2018,Espanyol,Barcelona,1,1,available,scheduled,2022-12-01T01:27:40.607637,2021-06-13T16:17:31.694,22,Regular Season,RCDE Stadium,Jesús Gil Manzano,Enrique Sánchez Flores,Ernesto Valverde Tejedor,1.1.0,2,2
9700,2017-12-02,13:00:00.000,Spain - La Liga,2017/2018,Barcelona,Celta Vigo,2,2,available,scheduled,2022-12-01T00:56:01.522299,2021-06-13T16:17:31.694,14,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Juan Carlos Unzué Labiano,1.1.0,2,2
9860,2018-03-31,20:45:00.000,Spain - La Liga,2017/2018,Sevilla,Barcelona,2,2,available,scheduled,2022-12-01T02:37:52.910806,2021-06-13T16:17:31.694,30,Regular Season,Estadio Ramón Sánchez Pizjuán,José Luis González González,Vincenzo Montella,Ernesto Valverde Tejedor,1.1.0,2,2
9695,2017-11-26,20:45:00.000,Spain - La Liga,2017/2018,Valencia,Barcelona,1,1,available,scheduled,2022-02-10T22:24:55.514083,2021-06-13T16:17:31.694,13,Regular Season,Estadio de Mestalla,Ignacio Iglesias Villanueva,"Juan Rubén Uría Corral, Marcelino García Toral",Ernesto Valverde Tejedor,1.1.0,2,2
9794,2018-02-11,16:15:00.000,Spain - La Liga,2017/2018,Barcelona,Getafe,0,0,available,scheduled,2022-12-01T01:37:21.292561,2021-06-13T16:17:31.694,23,Regular Season,Spotify Camp Nou,David Fernández Borbalan,Ernesto Valverde Tejedor,José Bordalás Jiménez,1.1.0,2,2
9717,2017-12-10,20:45:00.000,Spain - La Liga,2017/2018,Villarreal,Barcelona,0,2,available,scheduled,2022-03-30T23:12:28.894213,2021-06-13T16:17:31.694,15,Regular Season,Estadio de la Cerámica,,Javier Calleja Revilla,Ernesto Valverde Tejedor,1.1.0,2,2
9673,2017-11-04,20:45:00.000,Spain - La Liga,2017/2018,Barcelona,Sevilla,2,1,available,scheduled,2022-05-08T17:33:48.241122,2021-06-13T16:17:31.694,11,Regular Season,Spotify Camp Nou,José Luis González González,Ernesto Valverde Tejedor,Manuel Eduardo Berizzo,1.1.0,2,2
9650,2017-10-21,20:45:00.000,Spain - La Liga,2017/2018,Barcelona,Málaga,2,0,available,scheduled,2022-02-10T20:56:01.885373,2021-06-13T16:17:31.694,9,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,José Miguel González Martín del Campo,1.1.0,2,2
9620,2017-09-23,20:45:00.000,Spain - La Liga,2017/2018,Girona,Barcelona,0,3,available,scheduled,2022-03-30T20:28:12.616241,2021-06-13T16:17:31.694,6,Regular Season,Estadi Municipal de Montilivi,José María Sánchez Martínez,Pablo Javier Machín Díez,Ernesto Valverde Tejedor,1.1.0,2,2
