match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
303731,2020-02-22,16:00:00.000,Spain - La Liga,2019/2020,Barcelona,Eibar,5,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Spotify Camp Nou,,Enrique Setién Solar,José Luis Mendilibar Etxebarria,1.1.0,2,2
303532,2020-06-16,22:00:00.000,Spain - La Liga,2019/2020,Barcelona,Leganés,2,0,available,scheduled,2022-12-01T10:49:24.173853,2021-06-13T16:17:31.694,29,Regular Season,Spotify Camp Nou,,Enrique Setién Solar,Javier Aguirre Onaindía,1.1.0,2,2
303516,2020-06-27,17:00:00.000,Spain - La Liga,2019/2020,Celta Vigo,Barcelona,2,2,available,scheduled,2022-12-01T11:01:34.955134,2021-06-13T16:17:31.694,32,Regular Season,Abanca-Balaídos,,Óscar García Junyent,Enrique Setién Solar,1.1.0,2,2
303596,2019-12-18,20:00:00.000,Spain - La Liga,2019/2020,Barcelona,Real Madrid,0,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Zinédine Zidane,1.1.0,2,2
303430,2019-09-24,21:00:00.000,Spain - La Liga,2019/2020,Barcelona,Villarreal,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Javier Calleja Revilla,1.1.0,2,2
303725,2020-07-05,22:00:00.000,Spain - La Liga,2019/2020,Villarreal,Barcelona,1,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,34,Regular Season,Estadio de la Cerámica,,Javier Calleja Revilla,Enrique Setién Solar,1.1.0,2,2
303504,2019-11-02,16:00:00.000,Spain - La Liga,2019/2020,Levante UD,Barcelona,3,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,12,Regular Season,Estadio Ciudad de Valencia,,Francisco José López Fernández,Ernesto Valverde Tejedor,1.1.0,2,2
303451,2019-12-07,21:00:00.000,Spain - La Liga,2019/2020,Barcelona,Mallorca,5,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,16,Regular Season,Spotify Camp Nou,,Ernesto Valverde Tejedor,Vicente Moreno Peris,1.1.0,2,2
303664,2019-12-14,16:00:00.000,Spain - La Liga,2019/2020,Real Sociedad,Barcelona,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17,Regular Season,Reale Arena,,Imanol Alguacil Barrenetxea,Ernesto Valverde Tejedor,1.1.0,2,2
303682,2020-02-02,21:00:00.000,Spain - La Liga,2019/2020,Barcelona,Levante UD,2,1,available,scheduled,2022-11-12T01:17:24.133378,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,,Enrique Setién Solar,Francisco José López Fernández,1.1.0,2,2
