match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
69176,2007-05-20,21:00:00.000,Spain - La Liga,2006/2007,Atlético Madrid,Barcelona,0,6,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,35,Regular Season,Estadio Vicente Calderón,César Muñiz,Javier Aguirre Onaindía,Frank Rijkaard,1.1.0,2,2
69179,2007-04-07,20:00:00.000,Spain - La Liga,2006/2007,Real Zaragoza,Barcelona,1,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,29,Regular Season,Estadio de la Romareda,Luis Medina Cantalejo,Victor Fernández Braulio,Frank Rijkaard,1.1.0,2,2
68334,2007-03-03,22:00:00.000,Spain - La Liga,2006/2007,Sevilla,Barcelona,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Estadio Ramón Sánchez Pizjuán,Bernardino Gonzalez,Juan de la Cruz Ramos Cano,Frank Rijkaard,1.1.0,2,2
68333,2007-02-25,21:00:00.000,Spain - La Liga,2006/2007,Barcelona,Athletic Club,3,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Spotify Camp Nou,Vicente José Lizondo Cortés,,,1.1.0,2,2
68336,2007-06-17,21:00:00.000,Spain - La Liga,2006/2007,Gimnàstic Tarragona,Barcelona,1,5,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,38,Regular Season,Nou Estadi Costa Daurada,Alberto Undiano Mallenco,Francisco Flores Lajusticia,Frank Rijkaard,1.1.0,2,2
68326,2006-08-28,21:00:00.000,Spain - La Liga,2006/2007,Celta Vigo,Barcelona,2,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Regular Season,Abanca-Balaídos,Miguel Pérez,Fernando Vázquez Pena,Frank Rijkaard,1.1.0,2,2
69162,2007-05-13,19:00:00.000,Spain - La Liga,2006/2007,Barcelona,Real Betis,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,34,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,,,1.1.0,2,2
68335,2007-03-10,22:00:00.000,Spain - La Liga,2006/2007,Barcelona,Real Madrid,3,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,26,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Frank Rijkaard,Fabio Capello,1.1.0,2,2
68332,2007-02-18,19:00:00.000,Spain - La Liga,2006/2007,Valencia,Barcelona,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,23,Regular Season,Estadio de Mestalla,Eduardo Iturralde Gonzalez,Enrique Sánchez Flores,Frank Rijkaard,1.1.0,2,2
68330,2006-10-22,21:00:00.000,Spain - La Liga,2006/2007,Real Madrid,Barcelona,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,7,Regular Season,Estadio Santiago Bernabéu,Alfonso Perez Burrull,Fabio Capello,Frank Rijkaard,1.1.0,2,2
