match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
69328,2012-02-19,21:30:00.000,Spain - La Liga,2011/2012,Barcelona,Valencia,5,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Spotify Camp Nou,Turienzo,Josep Guardiola i Sala,Unai Emery Etxegoien,1.1.0,2,2
69329,2011-10-22,22:00:00.000,Spain - La Liga,2011/2012,Barcelona,Sevilla,0,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,9,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,Josep Guardiola i Sala,Marcelino García Toral,1.1.0,2,2
70219,2012-04-07,20:00:00.000,Spain - La Liga,2011/2012,Real Zaragoza,Barcelona,1,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,32,Regular Season,Estadio de la Romareda,Turienzo,Manuel Enrique Jiménez Jiménez,Josep Guardiola i Sala,1.1.0,2,2
69331,2011-11-19,20:00:00.000,Spain - La Liga,2011/2012,Barcelona,Real Zaragoza,4,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,13,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Josep Guardiola i Sala,Javier Aguirre Onaindía,1.1.0,2,2
69337,2012-02-26,21:30:00.000,Spain - La Liga,2011/2012,Atlético Madrid,Barcelona,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Estadio Vicente Calderón,Miguel Pérez,Diego Pablo Simeone,Josep Guardiola i Sala,1.1.0,2,2
69322,2012-03-11,18:00:00.000,Spain - La Liga,2011/2012,Racing Santander,Barcelona,0,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,27,Regular Season,Campos de Sport de El Sardinero,,Álvaro Cervera Díaz,Josep Guardiola i Sala,1.1.0,2,2
69316,2012-02-04,22:00:00.000,Spain - La Liga,2011/2012,Barcelona,Real Sociedad,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,Carlos Clos Gómez,Josep Guardiola i Sala,Philippe Jacques William Montanier,1.1.0,2,2
69332,2011-11-29,21:00:00.000,Spain - La Liga,2011/2012,Barcelona,Rayo Vallecano,4,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17,Regular Season,Spotify Camp Nou,Miguel Pérez,Josep Guardiola i Sala,José Ramón Sandoval Huertas,1.1.0,2,2
69335,2012-01-22,18:00:00.000,Spain - La Liga,2011/2012,Málaga,Barcelona,1,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Regular Season,Estadio La Rosaleda,Alberto Undiano Mallenco,Manuel Luis Pellegrini Ripamonti,Josep Guardiola i Sala,1.1.0,2,2
69330,2011-11-06,20:00:00.000,Spain - La Liga,2011/2012,Athletic Club,Barcelona,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,12,Regular Season,Estadio San Mamés,José Paradas,Marcelo Alberto Bielsa Caldera,Josep Guardiola i Sala,1.1.0,2,2
