match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
69225,2008-12-13,22:00:00.000,Spain - La Liga,2008/2009,Barcelona,Real Madrid,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,15,Regular Season,Spotify Camp Nou,Luis Medina Cantalejo,Josep Guardiola i Sala,Juan de la Cruz Ramos Cano,1.1.0,2,2
69212,2008-10-04,22:00:00.000,Spain - La Liga,2008/2009,Barcelona,Atlético Madrid,6,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,Josep Guardiola i Sala,Javier Aguirre Onaindía,1.1.0,2,2
69235,2008-11-01,20:00:00.000,Spain - La Liga,2008/2009,Málaga,Barcelona,1,4,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,9,Regular Season,Estadio La Rosaleda,Carlos Velasco Carballo,Antonio Tapia Flores,Josep Guardiola i Sala,1.1.0,2,2
69232,2008-10-25,22:00:00.000,Spain - La Liga,2008/2009,Barcelona,Almería,5,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,8,Regular Season,Spotify Camp Nou,Alfonso Perez Burrull,,,1.1.0,2,2
69216,2009-03-07,20:00:00.000,Spain - La Liga,2008/2009,Barcelona,Athletic Club,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,26,Regular Season,Spotify Camp Nou,Alberto Undiano Mallenco,Josep Guardiola i Sala,Joaquín de Jesús Caparrós Camino,1.1.0,2,2
69209,2009-02-01,17:00:00.000,Spain - La Liga,2008/2009,Racing Santander,Barcelona,1,2,available,scheduled,2023-04-19T10:45:41.486531,2021-06-13T16:17:31.694,21,Regular Season,Campos de Sport de El Sardinero,David Fernández Borbalan,Juan Ramón López Muñiz,Josep Guardiola i Sala,1.1.0,2,2
69231,2009-02-08,19:00:00.000,Spain - La Liga,2008/2009,Barcelona,Sporting Gijón,3,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,Antonio Rubinos Perez,Josep Guardiola i Sala,Manuel Preciado Rebolledo,1.1.0,2,2
69217,2009-05-10,19:03:00.000,Spain - La Liga,2008/2009,Barcelona,Villarreal,3,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,35,Regular Season,Spotify Camp Nou,Fernando Teixeira,Josep Guardiola i Sala,Manuel Luis Pellegrini Ripamonti,1.1.0,2,2
69273,2009-04-04,20:00:00.000,Spain - La Liga,2008/2009,Real Valladolid,Barcelona,0,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,29,Regular Season,Estadio Municipal José Zorrilla,Miguel Pérez,José Luis Mendilibar Etxebarria,Josep Guardiola i Sala,1.1.0,2,2
69222,2009-04-11,20:00:00.000,Spain - La Liga,2008/2009,Barcelona,Recreativo Huelva,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,30,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,Josep Guardiola i Sala,Luis Lucas Alcaraz González,1.1.0,2,2
69223,2009-04-18,20:00:00.000,Spain - La Liga,2008/2009,Getafe,Barcelona,0,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,31,Regular Season,Coliseum Alfonso Pérez,Turienzo,Víctor Muñoz Manrique,Josep Guardiola i Sala,1.1.0,2,2
69195,2009-02-14,20:00:00.000,Spain - La Liga,2008/2009,Real Betis,Barcelona,2,2,available,scheduled,2023-04-19T10:44:09.332962,2021-06-13T16:17:31.694,23,Regular Season,Estadio Benito Villamarín,Eduardo Iturralde Gonzalez,Francisco Chaparro Jara,Josep Guardiola i Sala,1.1.0,2,2
69251,2009-04-25,22:00:00.000,Spain - La Liga,2008/2009,Valencia,Barcelona,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,33,Regular Season,Estadio de Mestalla,César Muñiz,Unai Emery Etxegoien,Josep Guardiola i Sala,1.1.0,2,2
69185,2009-03-01,19:00:00.000,Spain - La Liga,2008/2009,Atlético Madrid,Barcelona,4,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Estadio Vicente Calderón,Bernardino Gonzalez,Abel Resino Gómez,Josep Guardiola i Sala,1.1.0,2,2
69142,2009-03-22,19:00:00.000,Spain - La Liga,2008/2009,Barcelona,Málaga,6,0,available,scheduled,2023-04-19T10:43:23.794420,2021-06-13T16:17:31.694,28,Regular Season,Spotify Camp Nou,César Muñiz,Josep Guardiola i Sala,Antonio Tapia Flores,1.1.0,2,2
69139,2009-02-21,20:00:00.000,Spain - La Liga,2008/2009,Barcelona,Espanyol,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Spotify Camp Nou,Carlos Delgado,Josep Guardiola i Sala,Mauricio Roberto Pochettino Trossero,1.1.0,2,2
69189,2009-01-24,22:00:00.000,Spain - La Liga,2008/2009,Barcelona,CD Numancia de Soria,4,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,20,Regular Season,Spotify Camp Nou,Miguel Pérez,Josep Guardiola i Sala,Sergije Krešić Juric,1.1.0,2,2
69171,2008-11-29,22:00:00.000,Spain - La Liga,2008/2009,Sevilla,Barcelona,0,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,13,Regular Season,Estadio Ramón Sánchez Pizjuán,Alberto Undiano Mallenco,Manuel Enrique Jiménez Jiménez,Josep Guardiola i Sala,1.1.0,2,2
69249,2009-05-02,20:00:00.000,Spain - La Liga,2008/2009,Real Madrid,Barcelona,2,6,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,34,Regular Season,Estadio Santiago Bernabéu,Alberto Undiano Mallenco,Juan de la Cruz Ramos Cano,Josep Guardiola i Sala,1.1.0,2,2
69215,2008-09-13,20:00:00.000,Spain - La Liga,2008/2009,Barcelona,Racing Santander,1,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,2,Regular Season,Spotify Camp Nou,Rafael Ramírez Domínguez,Josep Guardiola i Sala,Juan Ramón López Muñiz,1.1.0,2,2
69138,2008-09-21,21:00:00.000,Spain - La Liga,2008/2009,Sporting Gijón,Barcelona,1,6,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Regular Season,Estadio Municipal El Molinón,Carlos Megía Dávila,Manuel Preciado Rebolledo,Josep Guardiola i Sala,1.1.0,2,2
69147,2008-08-31,19:00:00.000,Spain - La Liga,2008/2009,CD Numancia de Soria,Barcelona,1,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,1,Regular Season,Los Pajaritos,David Fernández Borbalan,Sergije Krešić Juric,Josep Guardiola i Sala,1.1.0,2,2
