treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
240,2021/2022,1,0.38876389073123097,369,2024/2025,0.39012514964608663,0.005724932176550512
240,2022/2023,1,0.5955539968223572,278,2022/2023,0.5808022685969979,0.06090617383769065
240,2022/2023,1,0.5955539968223572,229,2022/2023,0.5778610466940539,0.07297491899491676
237,2024/2025,1,0.08935965405543647,32,2019/2020,0.08933493259479336,0.0003038365010845645
237,2024/2025,1,0.08935965405543647,46,2020/2021,0.08915457271343642,0.002522828331560145
53,2020/2021,3,0.15386975940453007,77,2024/2025,0.15262931535554947,0.009559266839483715
53,2020/2021,3,0.15386975940453007,74,2021/2022,0.15235146748566303,0.011709175771821512
53,2023/2024,3,0.24725946038946436,66,2022/2023,0.2470039544460366,0.001373262497996075
41,2020/2021,1,0.5624137923715072,275,2023/2024,0.5730313545742612,0.04326572263698064
41,2020/2021,1,0.5624137923715072,215,2021/2022,0.5740785270361409,0.047547068138595494
41,2020/2021,1,0.5624137923715072,35,2022/2023,0.5777080345808652,0.06240754255959663
41,2022/2023,1,0.4336319498776662,250,2023/2024,0.43544102959640535,0.007362535191075104
41,2022/2023,1,0.4336319498776662,335,2021/2022,0.4366465173738429,0.01226469600266289
318,2019/2020,2,0.1730726845666741,255,2022/2023,0.17298848710700293,0.0005884189763472047
318,2019/2020,2,0.1730726845666741,89,2022/2023,0.17257588559794712,0.00347518869422192
318,2019/2020,2,0.1730726845666741,319,2022/2023,0.17235767143166655,0.005004134530404825
318,2020/2021,2,0.40310014194248417,257,2022/2023,0.40177057179807946,0.005528795666287556
318,2020/2021,2,0.40310014194248417,306,2024/2025,0.39833400139474295,0.01984728377104561
318,2020/2021,2,0.40310014194248417,396,2022/2023,0.40905845695679094,0.024705306908896607
318,2022/2023,2,0.5112928126141384,319,2020/2021,0.5095789429004319,0.006858473332594671
318,2022/2023,2,0.5112928126141384,321,2019/2020,0.5168162617536889,0.02211149284477045
438,2022/2023,3,0.09087897303006959,443,2022/2023,0.08952719088669636,0.016472073430987333
438,2023/2024,3,0.09644799441546424,175,2020/2021,0.09704836037138752,0.006870141449719647
438,2023/2024,3,0.09644799441546424,167,2019/2020,0.09732201729296337,0.00998908804390819
438,2023/2024,3,0.09644799441546424,70,2022/2023,0.097481823037298,0.011806822964040453
144,2022/2023,1,0.06625793311218718,21,2023/2024,0.06659596591067593,0.00545088601704613
178,2020/2021,3,0.08377271110888843,205,2020/2021,0.08473415592822138,0.012461369545275325
410,2023/2024,1,0.46650535173013713,283,2019/2020,0.46916108722400357,0.010667116598892246
351,2023/2024,1,0.3224448518752744,28,2019/2020,0.32264317293861916,0.0009076089766795192
351,2023/2024,1,0.3224448518752744,150,2024/2025,0.3218943589408292,0.0025208454706980854
165,2023/2024,3,0.65466965235274,98,2023/2024,0.648803129917155,0.02584689520653427
455,2024/2025,2,0.4145984513648072,112,2020/2021,0.4136053069013716,0.004093391507317579
325,2020/2021,2,0.2225316192282324,93,2022/2023,0.2235159135528826,0.005680239676401078
325,2022/2023,2,0.5540740451451878,6,2019/2020,0.550929588270864,0.012718098003161177
325,2022/2023,2,0.5540740451451878,94,2019/2020,0.558010650308738,0.015946847107042528
174,2019/2020,3,0.2220358601414623,202,2020/2021,0.22269555039563174,0.00381502253755972
174,2020/2021,3,0.16898009627149926,165,2022/2023,0.1692187651714546,0.0016986530751692541
174,2022/2023,3,0.3530121377411123,95,2019/2020,0.35331269513961017,0.0013157025509652476
174,2022/2023,3,0.3530121377411123,65,2024/2025,0.35144549962450644,0.006866299104474782
174,2022/2023,3,0.3530121377411123,298,2020/2021,0.3509258519550159,0.009146913284363678
483,2024/2025,1,0.4280542137598187,220,2024/2025,0.4275272851794781,0.002152610903237706
74,2023/2024,3,0.14741577027560698,173,2020/2021,0.1462265045325855,0.009494066598276119
340,2022/2023,3,0.23611969766333893,296,2022/2023,0.2372402209573919,0.006202308672432322
340,2024/2025,3,0.4210362296217739,286,2023/2024,0.4226078376451167,0.006443974926158502
340,2024/2025,3,0.4210362296217739,65,2019/2020,0.4177004840415749,0.013699300468845321
379,2023/2024,2,0.24254969278188707,255,2019/2020,0.24287152597283104,0.0017509762188860911
315,2021/2022,2,0.3544539761858445,383,2021/2022,0.3545528194467213,0.00043194922956124593
315,2021/2022,2,0.3544539761858445,257,2020/2021,0.3512687102382497,0.013949109717527719
213,2021/2022,3,0.10321452357713731,100,2019/2020,0.10316856428697023,0.000496626070190409
213,2023/2024,3,0.09090499365684439,110,2022/2023,0.08878607988209505,0.02591313832398523
213,2024/2025,3,0.11216296587446326,290,2020/2021,0.11139299748148965,0.007755264740564094
139,2019/2020,1,0.20744189565254906,278,2020/2021,0.20770285786161205,0.0015865307783393678
139,2024/2025,1,0.13784599369393202,30,2024/2025,0.13792665744735658,0.0006785669527069604
